site_id,site_name,region,mean_ent_a,mean_ent_b,n_a,n_b,poor_pct_a,poor_pct_b,delta,pct_change,rank
99590,Frankston Coast Guard,Eastern Bayside,121.04,590.2,48.0,101.0,8.33,18.81,469.16,387.6,1
99995,Carrum Surf Life Saving Club,Eastern Bayside,70.65,491.5,48.0,105.0,12.5,16.19,420.85,595.7,2
99020,Port Melbourne,Inner North,219.13,435.4,47.0,103.0,19.15,18.45,216.27,98.7,3
99280,Blairgowrie,Mornington Peninsula,65.62,229.95,47.0,102.0,8.51,7.84,164.33,250.4,4
99992,Mornington Life Saving Club,Mornington Peninsula,222.88,370.95,48.0,105.0,16.67,10.48,148.07,66.4,5
99550,Dromana,Mornington Peninsula,66.38,164.23,48.0,102.0,10.42,11.76,97.85,147.4,6
99170,Frankston Surf Life Saving Club,Eastern Bayside,219.25,311.6,48.0,104.0,25.0,21.15,92.35,42.1,7
99630,Sandringham,Eastern Bayside,36.86,123.75,44.0,103.0,4.55,6.8,86.89,235.7,8
99690,Sandridge,Inner North,126.91,187.95,47.0,102.0,6.38,17.65,61.04,48.1,9
99580,Canadian Bay,Eastern Bayside,118.56,177.48,48.0,103.0,14.58,13.59,58.92,49.7,10
99510,Eastern Beach,Western Shore,70.96,123.32,50.0,105.0,8.0,12.38,52.36,73.8,11
99700,Williamstown,Inner North,66.51,117.88,47.0,102.0,6.38,11.76,51.37,77.2,12
99994,Mt Martha Life Saving Club,Mornington Peninsula,53.26,75.38,46.0,102.0,6.52,4.9,22.12,41.5,13
99160,Seaford,Eastern Bayside,77.92,99.51,48.0,102.0,14.58,8.82,21.59,27.7,14
99620,Mordialloc,Eastern Bayside,114.49,135.63,45.0,104.0,11.11,14.42,21.14,18.5,15
99990,Beaumaris,Eastern Bayside,69.68,87.53,47.0,102.0,8.51,9.8,17.85,25.6,16
99997,South Melbourne Life Saving Club,Inner North,86.81,95.65,47.0,102.0,8.51,10.78,8.84,10.2,17
99999,Black Rock Life Saving Club,Eastern Bayside,36.91,43.91,45.0,102.0,2.22,2.94,7.0,19.0,18
99991,Brighton Life Saving Club,Inner North,85.7,90.71,33.0,103.0,6.06,4.85,5.01,5.8,19
99520,Portsea,Mornington Peninsula,15.2,12.07,35.0,107.0,0.0,0.0,-3.13,-20.6,20
99070,Half Moon Bay,Eastern Bayside,63.39,58.69,46.0,103.0,8.7,4.85,-4.7,-7.4,21
99100,Mentone,Eastern Bayside,175.77,157.5,47.0,103.0,21.28,18.45,-18.27,-10.4,22
99530,Rye,Mornington Peninsula,140.0,118.15,48.0,103.0,14.58,14.56,-21.85,-15.6,23
99996,Aspendale Life Saving Club,Eastern Bayside,97.96,76.06,48.0,102.0,6.25,7.84,-21.9,-22.4,24
99761,Portarlington Beach (new site),Western Shore,72.68,45.15,59.0,120.0,8.47,2.5,-27.53,-37.9,25
99993,Rosebud Life Saving Club,Mornington Peninsula,121.04,93.05,48.0,102.0,12.5,6.86,-27.99,-23.1,26
99998,Santa Casa,Western Shore,40.0,9.35,49.0,104.0,2.04,0.0,-30.65,-76.6,27
99290,Sorrento,Mornington Peninsula,82.33,46.1,48.0,102.0,8.33,5.88,-36.23,-44.0,28
99770,St Leonards,Western Shore,89.73,49.16,49.0,104.0,12.24,2.88,-40.57,-45.2,29
99650,Elwood,Inner North,144.46,101.87,46.0,102.0,19.57,8.82,-42.59,-29.5,30
99500,The Dell,Western Shore,160.82,118.22,49.0,105.0,14.29,5.71,-42.6,-26.5,31
99240,Safety Beach,Mornington Peninsula,114.29,70.46,48.0,101.0,12.5,5.94,-43.83,-38.3,32
99660,St Kilda,Inner North,329.19,247.08,47.0,104.0,19.15,20.19,-82.11,-24.9,33
99060,Hampton,Inner North,187.54,81.35,46.0,103.0,13.04,10.68,-106.19,-56.6,34
99710,Altona,Inner North,195.36,84.67,47.0,103.0,12.77,6.8,-110.69,-56.7,35
99730,Werribee Sth,Western Shore,256.77,55.46,48.0,105.0,25.0,3.81,-201.31,-78.4,36
